iter	Passed	Remaining
403	9444	13933
404	9467	13909
405	9491	13886
406	9513	13861
407	9539	13841
408	9567	13824
409	9599	13813
410	9625	13794
411	9651	13774
412	9676	13753
413	9698	13727
414	9720	13701
415	9743	13678
416	9765	13653
417	9790	13631
418	9812	13606
419	9835	13582
420	9859	13560
421	9887	13542
422	9913	13522
423	9939	13503
424	9964	13481
425	9989	13459
426	10013	13437
427	10038	13416
428	10063	13394
429	10086	13370
430	10111	13348
431	10133	13323
432	10158	13302
433	10184	13281
434	10209	13260
435	10232	13236
436	10257	13215
437	10281	13191
438	10306	13170
439	10333	13151
440	10357	13129
441	10381	13105
442	10404	13082
443	10428	13058
444	10450	13033
445	10476	13012
446	10499	12989
447	10523	12966
448	10546	12942
449	10570	12919
450	10594	12896
451	10617	12872
452	10641	12849
453	10664	12825
454	10690	12805
455	10712	12780
456	10735	12756
457	10760	12734
458	10799	12728
459	10825	12708
460	10848	12684
461	10873	12662
462	10897	12639
463	10923	12617
464	10946	12594
465	10971	12572
466	10996	12550
467	11019	12526
468	11047	12507
469	11071	12485
470	11096	12462
471	11119	12438
472	11144	12416
473	11166	12391
474	11190	12368
475	11214	12345
476	11238	12321
477	11261	12298
478	11286	12276
479	11311	12253
480	11334	12230
481	11358	12206
482	11381	12183
483	11405	12159
484	11429	12136
485	11453	12113
486	11477	12090
487	11500	12066
488	11540	12059
489	11564	12036
490	11589	12014
491	11612	11989
492	11639	11969
493	11662	11945
494	11687	11923
495	11712	11901
496	11737	11878
497	11761	11855
498	11784	11831
499	11808	11808
500	11833	11786
501	11857	11763
502	11881	11739
503	11905	11716
504	11929	11693
505	11953	11670
506	11978	11647
507	12001	11623
508	12025	11599
509	12048	11576
510	12073	11553
511	12096	11529
512	12119	11505
513	12144	11483
514	12168	11459
515	12191	11435
516	12214	11411
517	12241	11390
518	12265	11367
519	12289	11343
520	12313	11320
521	12337	11297
522	12361	11274
523	12384	11250
524	12408	11227
525	12431	11202
526	12455	11178
527	12478	11155
528	12502	11131
529	12528	11109
530	12552	11086
531	12577	11064
532	12600	11040
533	12624	11016
534	12647	10992
535	12671	10969
536	12696	10947
537	12719	10922
538	12743	10899
539	12767	10875
540	12792	10853
541	12815	10829
542	12840	10806
543	12863	10783
544	12888	10760
545	12912	10736
546	12948	10723
547	12979	10705
548	13003	10682
549	13027	10658
550	13050	10634
551	13078	10614
552	13102	10590
553	13126	10567
554	13148	10542
555	13172	10519
556	13196	10495
557	13219	10471
558	13244	10448
559	13267	10424
560	13292	10401
561	13317	10379
562	13343	10357
563	13367	10333
564	13391	10310
565	13415	10286
566	13438	10262
567	13463	10239
568	13486	10215
569	13511	10192
570	13535	10169
571	13558	10145
572	13582	10121
573	13605	10097
574	13630	10074
575	13653	10050
576	13679	10028
577	13702	10004
578	13727	9981
579	13751	9957
580	13794	9948
581	13820	9926
582	13845	9903
583	13869	9879
584	13894	9856
585	13917	9832
586	13943	9810
587	13966	9785
588	13990	9762
589	14014	9738
590	14039	9716
591	14063	9692
592	14086	9667
593	14110	9644
594	14136	9622
595	14160	9598
596	14184	9575
597	14208	9551
598	14231	9527
599	14256	9504
600	14280	9480
601	14304	9457
602	14329	9434
603	14353	9410
604	14376	9386
605	14401	9363
606	14426	9340
607	14451	9317
608	14475	9293
609	14499	9270
610	14524	9247
611	14550	9224
612	14576	9202
613	14600	9178
614	14626	9156
615	14652	9133
616	14677	9111
617	14702	9087
618	14727	9064
619	14753	9042
620	14778	9019
621	14803	8996
622	14828	8973
623	14854	8950
624	14879	8927
625	14904	8904
626	14929	8881
627	14960	8862
628	15004	8850
629	15032	8828
630	15060	8807
631	15090	8786
632	15129	8771
633	15154	8748
634	15179	8725
635	15204	8702
636	15229	8678
637	15256	8656
638	15284	8635
639	15309	8611
640	15333	8587
641	15358	8564
642	15384	8541
643	15408	8517
644	15433	8494
645	15457	8470
646	15485	8448
647	15510	8425
648	15535	8402
649	15560	8378
650	15586	8355
651	15610	8331
652	15635	8308
653	15659	8284
654	15687	8262
655	15711	8238
656	15737	8216
657	15764	8193
658	15790	8170
659	15814	8147
660	15838	8122
661	15861	8098
662	15886	8075
663	15910	8051
664	15934	8026
665	15957	8002
666	15981	7978
667	16004	7954
668	16029	7930
669	16052	7906
670	16076	7882
671	16101	7859
672	16125	7835
673	16150	7811
674	16175	7788
675	16199	7764
676	16223	7740
677	16247	7716
678	16271	7692
679	16294	7667
680	16319	7644
681	16342	7620
682	16366	7596
683	16390	7572
684	16413	7547
685	16437	7523
686	16460	7499
687	16484	7475
688	16509	7451
689	16534	7428
690	16561	7405
691	16584	7381
692	16607	7357
693	16632	7333
694	16656	7309
695	16682	7286
696	16705	7262
697	16730	7238
698	16755	7215
699	16778	7190
700	16803	7167
701	16829	7144
702	16855	7121
703	16882	7098
704	16908	7075
705	16932	7051
706	16957	7027
707	16983	7004
708	17008	6980
709	17033	6957
710	17061	6934
711	17086	6911
712	17111	6887
713	17136	6864
714	17161	6840
715	17185	6816
716	17211	6793
717	17235	6769
718	17274	6751
719	17300	6727
720	17324	6703
721	17349	6680
722	17377	6657
723	17402	6634
724	17428	6610
725	17452	6586
726	17477	6563
727	17501	6539
728	17526	6515
729	17548	6490
730	17573	6466
731	17597	6442
732	17621	6418
733	17644	6394
734	17670	6370
735	17695	6347
736	17719	6323
737	17743	6299
738	17767	6275
739	17792	6251
740	17816	6227
741	17839	6202
742	17864	6179
743	17889	6155
744	17914	6131
745	17938	6107
746	17963	6084
747	17987	6059
748	18012	6036
749	18035	6011
750	18061	5988
751	18085	5964
752	18110	5940
753	18133	5916
754	18158	5892
755	18183	5868
756	18208	5844
757	18232	5820
758	18258	5797
759	18282	5773
760	18306	5749
761	18331	5725
762	18355	5701
763	18379	5677
764	18403	5653
765	18428	5629
766	18452	5605
767	18477	5581
768	18502	5558
769	18527	5534
770	18552	5510
771	18577	5486
772	18601	5462
773	18626	5438
774	18651	5415
775	18677	5391
776	18701	5367
777	18726	5343
778	18753	5320
779	18778	5296
780	18802	5272
781	18827	5248
782	18851	5224
783	18877	5200
784	18900	5176
785	18924	5152
786	18949	5128
787	18972	5104
788	18998	5080
789	19022	5056
790	19047	5032
791	19070	5008
792	19094	4984
793	19118	4960
794	19144	4936
795	19167	4912
796	19191	4888
797	19215	4864
798	19240	4840
799	19264	4816
800	19287	4791
801	19310	4767
802	19333	4743
