iter	RMSE
182	0.2584384709
183	0.2583430292
184	0.2582750575
185	0.2581481948
186	0.2580204864
187	0.2579032779
188	0.2578193299
189	0.2577032926
190	0.257644402
191	0.257583298
192	0.2574727768
193	0.2573685345
194	0.2572828158
195	0.2571435525
196	0.257067709
197	0.2569860797
198	0.256936679
199	0.2568406921
200	0.2567394223
201	0.2566241373
202	0.2565551436
203	0.2564097731
204	0.2563356648
205	0.2562269966
206	0.2561368102
207	0.256077729
208	0.2559846667
209	0.2559231993
210	0.2558560467
211	0.2557455169
212	0.2557008739
213	0.2556296138
214	0.2555420394
215	0.2554605422
216	0.2554052269
217	0.2553187378
218	0.2552415819
219	0.2551454753
220	0.2550782478
221	0.2550073112
222	0.2549082304
223	0.2548476434
224	0.2547667855
225	0.254700198
226	0.2546326804
227	0.2545426762
228	0.2544610653
229	0.2543652601
230	0.2543067265
231	0.2542339918
232	0.2541116821
233	0.2539962859
234	0.2539215132
235	0.2538560545
236	0.2537470326
237	0.2536797676
238	0.2535978045
239	0.2535498504
240	0.2534658875
241	0.2533893463
242	0.2533402372
243	0.2532541169
244	0.2531791266
245	0.2530769721
246	0.2529644071
247	0.2529238864
248	0.2528852858
249	0.2528323587
250	0.2527579456
251	0.252667987
252	0.2526091162
253	0.2525430061
254	0.2524765634
255	0.2524231877
256	0.252370536
257	0.2523181867
258	0.2522877042
259	0.2522104701
260	0.2521372835
261	0.252064999
262	0.2520095047
263	0.2519239938
264	0.2518307826
265	0.2517830613
266	0.2516989187
267	0.2516540506
268	0.2515733263
269	0.2515346068
270	0.2514960958
271	0.2514261889
272	0.2513515995
273	0.2512853081
274	0.2512222508
275	0.251187226
276	0.2511080665
277	0.2510296842
278	0.2509760307
279	0.2509266608
280	0.2508672614
281	0.2508231844
282	0.2507709161
283	0.2507453589
284	0.2506895411
285	0.2506000955
286	0.2505203841
287	0.2504863913
288	0.250401966
289	0.2503192514
290	0.2502689889
291	0.2502270495
292	0.2501378518
293	0.2500853427
294	0.2500182564
295	0.2499729794
296	0.2498703401
297	0.2498190808
298	0.2497377081
299	0.2496671507
300	0.2496134713
301	0.2495378995
302	0.2494589606
303	0.2494211395
304	0.2493668817
305	0.2493182593
306	0.2492555002
307	0.2492262419
308	0.2491198395
309	0.2490580949
310	0.2489897566
311	0.2489682398
312	0.2489090972
313	0.2488447487
314	0.2487949875
315	0.248733026
316	0.2487064538
317	0.2486460656
318	0.2485908521
319	0.2485643735
320	0.2484828199
321	0.24843346
322	0.2483934267
323	0.2483222913
324	0.2482525993
325	0.2481558741
326	0.248112711
327	0.2479938146
328	0.2479391006
329	0.2478623322
330	0.2478050677
331	0.2476829982
332	0.2476037211
333	0.2474940244
334	0.2473802808
335	0.2473217371
336	0.2472939178
337	0.2472259923
338	0.2471628685
339	0.247110865
340	0.2470953391
341	0.2470001489
342	0.2469159252
343	0.2468416357
344	0.2468103895
345	0.2467549186
346	0.2467120341
347	0.2466493
348	0.246625628
349	0.2465579017
350	0.2464934501
351	0.2464438259
352	0.246356651
353	0.2462933676
354	0.2462277912
355	0.246165739
356	0.2461036847
357	0.2460133118
358	0.2459628912
359	0.2458883529
360	0.2458351766
361	0.2457797881
362	0.2457275953
363	0.2456901696
364	0.2456322694
365	0.2455658834
366	0.2455466424
367	0.24541195
368	0.2453283922
369	0.2453018108
370	0.245281867
371	0.2451974191
372	0.2451618561
373	0.2451053486
374	0.245031632
375	0.2449371924
376	0.2449076637
377	0.2448393137
378	0.2447634935
379	0.2447073719
380	0.2446779619
381	0.2446475884
382	0.2445855378
383	0.2445283723
384	0.244454253
385	0.2444014167
386	0.2443778126
387	0.2443322669
388	0.2442680676
389	0.2442062214
390	0.2441909633
391	0.2441643849
392	0.2441058767
393	0.2440618261
394	0.2439841449
395	0.2439470876
396	0.2438954044
397	0.2438464928
398	0.2437787526
399	0.2437453375
400	0.2437117193
401	0.2436805875
402	0.2436329765
403	0.2435303905
404	0.2435071751
405	0.2434706039
406	0.2434333265
407	0.2433824873
408	0.2433537004
409	0.2433144561
410	0.2432793254
411	0.2432291798
412	0.243190038
413	0.2431702591
414	0.2431292118
415	0.2430828051
416	0.2430290609
417	0.2429865823
418	0.2429102505
419	0.2428266598
420	0.2427787327
421	0.2427263395
422	0.2426757271
423	0.2426455767
424	0.242566188
425	0.2425491909
426	0.2425151547
427	0.2424771665
428	0.2424078372
429	0.2423621049
430	0.2423130911
431	0.24228858
432	0.2422657832
433	0.2422201437
434	0.2421511938
435	0.2421035176
436	0.2420297039
437	0.2420015622
438	0.2419397965
439	0.2419129896
440	0.2418804003
441	0.2418267735
442	0.2418000683
443	0.241702774
444	0.2416289754
445	0.2415944664
446	0.2415672646
447	0.241523596
448	0.2414676292
449	0.2414454676
450	0.2413804455
451	0.2413377185
452	0.2413036827
453	0.2412802064
454	0.2412273428
455	0.2412205747
456	0.2412083369
457	0.2411805593
458	0.2411172617
459	0.2410807186
460	0.2410419082
461	0.2409987026
462	0.2409505299
463	0.2409155825
464	0.240899005
465	0.2408596056
466	0.2407946494
467	0.2407279931
468	0.2406504864
469	0.2406234145
470	0.2405886363
471	0.2405138744
472	0.2404497394
473	0.2404056461
474	0.2403789319
475	0.2403427072
476	0.2403023405
477	0.2402618481
478	0.2402112391
479	0.2401478456
480	0.2400982728
481	0.2400462819
482	0.2399942682
483	0.2399215519
484	0.2398807992
485	0.2398136281
486	0.2397431763
487	0.2397172377
488	0.2397067721
489	0.2396436706
490	0.2395977325
491	0.2395623643
492	0.2395149815
493	0.2394617467
494	0.2393616998
495	0.2393025568
496	0.2392363847
497	0.2392044891
498	0.2391457769
499	0.2390949558
500	0.2390622221
501	0.2390186263
502	0.2389884932
503	0.2389370694
504	0.2388996826
505	0.2388515532
506	0.2388045106
507	0.2386971086
508	0.2386750682
509	0.2386446632
510	0.2386076583
511	0.2385988158
512	0.238563701
513	0.2385227486
514	0.2384832832
515	0.2384684039
516	0.2384462252
517	0.2383836121
518	0.2383428887
519	0.2383096486
520	0.2382706884
521	0.2382381134
522	0.2382076588
523	0.2381918978
524	0.238138607
525	0.2381120616
526	0.2380570658
527	0.2380273762
528	0.2380137582
529	0.2379854209
530	0.2379451846
531	0.2378951077
532	0.2378692599
533	0.2378464583
534	0.2378315309
535	0.2378183944
536	0.237806647
537	0.2377522515
538	0.2377134654
539	0.2376359106
540	0.2375738941
541	0.2375361746
542	0.2374982884
543	0.2374629371
544	0.2374040625
545	0.2373752553
546	0.2373378444
547	0.2372931618
548	0.2372673429
549	0.237253011
550	0.2372290507
551	0.2371757053
552	0.2371386212
553	0.2371004573
554	0.2370833193
555	0.2370495731
556	0.2370252293
557	0.2370046181
558	0.2369575234
559	0.2369024962
560	0.2368716558
561	0.2368318589
562	0.2368121342
563	0.2367625789
564	0.2367170538
565	0.2366887441
566	0.2366568462
567	0.2365880699
568	0.2365590214
569	0.2365436106
570	0.2365050529
571	0.2364866004
572	0.2364161186
573	0.236386796
574	0.236350962
575	0.2363365406
576	0.2363078547
577	0.2362333103
578	0.2362114825
579	0.2361820236
580	0.236141014
581	0.2360964927
582	0.2360240917
583	0.2359731122
584	0.2359141758
585	0.2358657889
586	0.23583658
587	0.2358211701
588	0.2357883934
589	0.2357347826
590	0.2356820887
591	0.2356536041
592	0.2356436371
593	0.2356252464
594	0.2355800893
595	0.235559957
596	0.2355155605
597	0.2354558308
598	0.2354527152
599	0.2354284211
600	0.2353890788
601	0.2353595991
602	0.2353257597
603	0.235305307
604	0.2352558391
605	0.2352123948
606	0.2351663344
607	0.2351341256
608	0.2350994474
609	0.2350707732
610	0.2350462586
611	0.2349877392
612	0.2349653507
613	0.2349274105
614	0.2349071222
615	0.2348677358
616	0.2348235527
617	0.2347816855
618	0.2347207127
619	0.2346992763
620	0.2346678118
621	0.2346254771
622	0.2346083553
623	0.2345665562
624	0.2345547194
625	0.2344997189
626	0.2344353099
627	0.2344168649
628	0.2343856072
629	0.2343510781
630	0.2343200421
631	0.2342916008
632	0.2342574482
633	0.2341693876
634	0.2341310913
635	0.2340892741
636	0.2340542329
637	0.2340088577
638	0.233977805
639	0.2339529257
640	0.233902071
641	0.2338681329
642	0.2338295838
643	0.2338145548
644	0.2338027313
645	0.2337783248
646	0.2337625083
647	0.2336968508
648	0.2336639316
649	0.2336209524
650	0.2335299822
651	0.2334745053
652	0.2334419149
653	0.2334057238
654	0.2333719598
655	0.2333501823
656	0.2332985689
657	0.2332734579
658	0.2332447019
659	0.2331967706
660	0.2331543863
661	0.2331232683
662	0.2330711325
663	0.2330462612
664	0.2330102578
665	0.2329697755
666	0.2329283703
667	0.2329193337
668	0.2328925318
669	0.2328562562
670	0.2328005702
671	0.2327680312
672	0.2327567597
673	0.232721492
674	0.2326503946
675	0.2326255314
676	0.2325913489
677	0.232544813
678	0.232516623
679	0.2324643702
680	0.2324227782
681	0.2323817597
682	0.2323552836
683	0.2323343347
684	0.2323019582
685	0.2322642434
686	0.2322445531
687	0.23222355
688	0.232184481
689	0.2321472869
690	0.2320922857
691	0.232078269
692	0.2320496773
693	0.2320326695
694	0.2320084261
695	0.2319804455
696	0.2319665257
697	0.231951184
698	0.2319297019
699	0.2319134914
700	0.231866567
701	0.2318399461
702	0.2318139851
703	0.2317852133
704	0.2316445954
705	0.2316351125
706	0.2315948447
707	0.2315563568
708	0.2315146575
709	0.2314877207
710	0.2314418252
711	0.2313894848
712	0.231370076
713	0.2313264735
714	0.2312701086
715	0.2312469446
716	0.2312121231
717	0.2311590572
718	0.2311453098
719	0.2311198006
720	0.2310804992
721	0.2310443194
722	0.2310221517
723	0.230989248
724	0.2309657593
725	0.2309358609
726	0.2309073422
727	0.2308921782
728	0.2308590937
729	0.2308235385
730	0.2308041348
731	0.2307818292
732	0.2307432874
733	0.230722156
734	0.2306833382
735	0.2306583067
736	0.2306233936
737	0.2306033868
738	0.2305752133
739	0.2305552977
740	0.230475496
741	0.2304382184
742	0.2303902084
743	0.230364124
744	0.2303363665
745	0.2303019017
746	0.2302771615
747	0.2302273969
748	0.2301953567
749	0.2301849818
750	0.230116756
751	0.2300923546
752	0.2300425921
753	0.2300311149
754	0.2300218663
755	0.229922983
756	0.2298736728
757	0.2298240071
758	0.2297926155
759	0.2297182104
760	0.229673105
761	0.2296259876
762	0.2296048795
763	0.2295810392
764	0.22956123
765	0.2295354617
766	0.2295111828
767	0.2294870545
768	0.2294418993
769	0.2294026921
770	0.2293582773
771	0.2293105601
772	0.2292708704
773	0.2292147494
774	0.2291897551
775	0.229159112
776	0.2291317778
777	0.2290881661
778	0.2290526821
779	0.229031037
780	0.229000229
781	0.2289629848
782	0.2289260851
783	0.2288886573
784	0.2288720069
785	0.2288213696
786	0.228797243
787	0.2287604384
788	0.2286803158
789	0.2286395906
790	0.2286042173
791	0.2285639042
792	0.2285405021
793	0.2284960592
794	0.2284710084
795	0.228429374
796	0.2284015379
797	0.228377871
798	0.2283512116
799	0.2283206161
800	0.2282780074
801	0.2282471177
802	0.2282260336
803	0.2281859404
804	0.2281550213
805	0.2281044055
806	0.2280812702
807	0.2280601534
808	0.2280391383
809	0.2280111037
810	0.2280039701
811	0.2279719774
812	0.2279651703
813	0.2279059313
814	0.2278462507
815	0.2278128268
816	0.2277984786
817	0.2277751473
818	0.227746036
819	0.2276955713
820	0.2276780627
821	0.2276452483
822	0.227632446
823	0.2275828601
824	0.2275617256
825	0.2275115603
826	0.2274586479
827	0.2274504569
828	0.2274176322
829	0.2273995262
830	0.2273922304
831	0.227363333
832	0.2273395385
833	0.2273135632
834	0.2272886786
835	0.2272666435
836	0.2272302484
837	0.2272011752
838	0.2271682491
839	0.2271344456
840	0.2271234777
841	0.2270495485
842	0.2270207705
843	0.2269968338
844	0.2269612174
845	0.2269241816
846	0.2268939928
847	0.2268644034
848	0.2268201889
849	0.2267580041
850	0.2266972946
851	0.2266673746
852	0.2266453256
853	0.2266190968
854	0.2265833934
855	0.226565184
856	0.226526963
857	0.226486324
858	0.2264645805
859	0.2264241345
860	0.2263903087
861	0.2263550287
862	0.2263386573
863	0.2263102331
864	0.2262864256
865	0.2262630803
866	0.2262444639
867	0.2262194556
868	0.2261774366
869	0.2261379311
870	0.2261216615
871	0.226095304
872	0.2260630797
873	0.2260358744
874	0.2260131049
875	0.2259962391
876	0.2259661229
877	0.2259171741
878	0.2259079704
879	0.2258937357
880	0.225875618
881	0.2258530343
882	0.2258191007
883	0.2257711874
884	0.2257631668
885	0.2257364384
886	0.2257143539
887	0.2256777723
888	0.225656245
889	0.2256462275
890	0.225611127
891	0.2255873221
892	0.2255604412
893	0.2255291691
894	0.2254933874
895	0.2254669971
896	0.2254373859
897	0.2253962623
898	0.225385819
899	0.2253520653
900	0.2253127394
901	0.225292267
902	0.2252382974
903	0.225203112
904	0.2251686681
905	0.2251340149
906	0.2251129542
907	0.2250730047
908	0.2250454474
909	0.2250159184
910	0.2249895545
911	0.2249721708
912	0.224928696
913	0.2249120567
914	0.2248940989
915	0.2248804792
916	0.2248546292
917	0.2248131341
918	0.2247790292
919	0.2247562576
920	0.224736557
921	0.224699042
922	0.2246718073
923	0.2246018755
924	0.2245756626
925	0.2245422548
926	0.2244805099
927	0.2244385493
928	0.2243892618
929	0.2243615842
930	0.2243108679
931	0.2242943027
932	0.2242727389
933	0.2242643666
934	0.224241223
935	0.224229354
936	0.2242076909
937	0.2241686808
938	0.224128072
939	0.2240975887
940	0.2240668974
941	0.2240416895
942	0.2239960755
943	0.223965113
944	0.2239366509
945	0.2239104325
946	0.2238917305
947	0.2238765378
948	0.2238568917
949	0.2238433552
950	0.2237975377
951	0.2237296143
952	0.2237119253
953	0.2236625365
954	0.2236306953
955	0.2236134199
956	0.2235751342
957	0.2235381462
958	0.2235264968
959	0.2235074123
960	0.2234681226
961	0.2234166561
962	0.2233801894
963	0.2233633891
964	0.2233507127
965	0.223329164
966	0.2232947965
967	0.2232737918
968	0.2232292037
969	0.2232038791
970	0.2231895529
971	0.2231683724
972	0.2231551283
973	0.2231262744
974	0.2231140311
975	0.2230960407
976	0.2230771013
977	0.2230226331
978	0.223002492
979	0.2229667487
980	0.222925385
981	0.2228874027
982	0.2228697321
983	0.222834652
984	0.2227945866
985	0.2227685025
986	0.2227587678
987	0.2227272232
988	0.2226963077
989	0.2226423689
990	0.2226219963
991	0.2225975121
992	0.222586752
993	0.2225459882
994	0.2225152785
995	0.2224990181
996	0.2224758148
997	0.2224585414
998	0.2224414815
999	0.2224201632
